,barrio,Con muertos,Choque,Ciclo Ruta,Glorieta,Interseccion,Lote o Predio,Paso Elevado,Paso Inferior,Paso a Nivel,Pontón,Puente,Tramo de via,Tunel,Via peatonal,cluster
175,Lorena,7.0,757.0,6.0,12.0,221.0,88.0,1.0,2.0,0.0,0.0,0.0,673.0,0.0,1.0,2
176,Loreto,3.0,413.0,3.0,0.0,89.0,84.0,0.0,0.0,0.0,0.0,0.0,634.0,0.0,0.0,5
177,Los Alcázares,5.0,331.0,1.0,0.0,147.0,66.0,0.0,1.0,0.0,0.0,0.0,310.0,0.0,0.0,0
178,Los Alpes,1.0,330.0,0.0,3.0,138.0,68.0,0.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,0
179,Los Angeles,6.0,945.0,3.0,0.0,473.0,93.0,0.0,1.0,0.0,0.0,0.0,763.0,0.0,0.0,2
180,Los Balsos No.1,4.0,394.0,0.0,2.0,56.0,42.0,5.0,0.0,0.0,0.0,1.0,363.0,0.0,0.0,0
181,Los Balsos No.2,0.0,808.0,1.0,4.0,97.0,123.0,5.0,2.0,0.0,0.0,1.0,685.0,0.0,1.0,2
182,Los Cerros El Vergel,2.0,126.0,1.0,0.0,37.0,23.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0
183,Los Colores,12.0,1730.0,8.0,297.0,281.0,288.0,4.0,0.0,0.0,1.0,5.0,1904.0,0.0,1.0,1
184,Los Conquistadores,22.0,3198.0,19.0,84.0,479.0,272.0,30.0,96.0,6.0,1.0,10.0,3083.0,23.0,1.0,4
185,Los Mangos,2.0,274.0,2.0,0.0,72.0,77.0,0.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0
186,Los Naranjos,1.0,612.0,4.0,4.0,99.0,145.0,0.0,0.0,0.0,1.0,0.0,485.0,0.0,0.0,5
187,Los Pinos,8.0,806.0,7.0,54.0,164.0,78.0,0.0,2.0,1.0,0.0,0.0,836.0,0.0,0.0,2
188,López de Mesa,3.0,433.0,5.0,57.0,127.0,158.0,0.0,0.0,1.0,0.0,0.0,604.0,0.0,0.0,5
189,Manila,6.0,1816.0,5.0,323.0,253.0,141.0,62.0,5.0,1.0,0.0,34.0,1364.0,0.0,1.0,1
190,Manrique Central No. 1,10.0,794.0,1.0,0.0,349.0,105.0,0.0,0.0,0.0,0.0,1.0,762.0,0.0,0.0,2
191,Manrique Central No. 2,3.0,417.0,4.0,0.0,155.0,92.0,1.0,0.0,0.0,0.0,0.0,499.0,0.0,0.0,5
192,Manrique Oriental,5.0,570.0,7.0,0.0,185.0,94.0,0.0,0.0,0.0,0.0,0.0,685.0,1.0,0.0,5
193,María Cano Carambolas,1.0,23.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0
194,Media Luna,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0
195,Metropolitano,0.0,14.0,1.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0
196,Mirador del Doce,1.0,5.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0
197,Miraflores,2.0,454.0,1.0,0.0,222.0,66.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,0.0,5
198,Miranda,5.0,732.0,4.0,0.0,304.0,103.0,1.0,1.0,0.0,0.0,1.0,691.0,0.0,0.0,2
199,Miravalle,0.0,70.0,1.0,0.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0
200,Monteclaro,0.0,42.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0
201,Moravia,12.0,783.0,1.0,18.0,120.0,114.0,3.0,6.0,0.0,0.0,6.0,1008.0,0.0,1.0,2
202,Moscú No. 1,0.0,191.0,2.0,0.0,53.0,42.0,1.0,0.0,0.0,0.0,1.0,261.0,0.0,0.0,0
203,Moscú No. 2,3.0,138.0,0.0,0.0,42.0,59.0,0.0,0.0,0.0,0.0,1.0,265.0,0.0,0.0,0
204,Naranjal,14.0,2449.0,12.0,2.0,375.0,303.0,20.0,18.0,1.0,0.0,44.0,2464.0,1.0,1.0,4
205,Nueva Villa de Aburrá,1.0,168.0,1.0,0.0,44.0,15.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0
206,Nueva Villa de la Iguaná,2.0,369.0,5.0,1.0,99.0,31.0,0.0,0.0,0.0,0.0,4.0,381.0,0.0,0.0,0
207,Nuevos Conquistadores,1.0,33.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0
208,Ocho de Marzo,1.0,34.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0
209,Olaya Herrera,4.0,109.0,0.0,1.0,8.0,47.0,0.0,0.0,0.0,0.0,2.0,180.0,0.0,0.0,0
